approach,top@p,code filter,uc filter,map,precision,recall,f1
all_code_uc_chains_bge,20%,(1.0000|0.7054),(0.7633|0.7914),0.3148,0.0787,0.3515,0.1287
all_code_uc_chains_bge,15%,(1.0000|0.7054),(0.7633|0.7914),0.3220,0.0930,0.3034,0.1424
all_code_uc_chains_bge,10%,(1.0000|0.7054),(0.7633|0.7914),0.3289,0.1151,0.2609,0.1597
all_code_uc_chains_miniLM,20%,(1.0000|0.6920),(0.7836|0.8221),0.3046,0.0779,0.4267,0.1317
all_code_uc_chains_miniLM,15%,(1.0000|0.6920),(0.7836|0.8221),0.3071,0.0943,0.3804,0.1511
all_code_uc_chains_miniLM,10%,(1.0000|0.6920),(0.7836|0.8221),0.3119,0.1168,0.3215,0.1713
all_code_uc_chains_simcse,20%,(1.0000|0.7098),(0.7574|0.7853),0.2518,0.0605,0.3133,0.1014
all_code_uc_chains_simcse,15%,(1.0000|0.7098),(0.7574|0.7853),0.2600,0.0704,0.2846,0.1129
all_code_uc_chains_simcse,10%,(1.0000|0.7098),(0.7574|0.7853),0.2624,0.0857,0.2472,0.1273
weighted_code_uc_chains_bge,20%,(1.0000|0.7054),(0.7633|0.7914),0.3146,0.0814,0.3467,0.1319
weighted_code_uc_chains_bge,15%,(1.0000|0.7054),(0.7633|0.7914),0.3179,0.0954,0.3023,0.1450
weighted_code_uc_chains_bge,10%,(1.0000|0.7054),(0.7633|0.7914),0.3276,0.1103,0.2567,0.1543
weighted_code_uc_chains_miniLM,20%,(1.0000|0.6920),(0.7836|0.8221),0.3133,0.0776,0.4149,0.1308
weighted_code_uc_chains_miniLM,15%,(1.0000|0.6920),(0.7836|0.8221),0.3208,0.0924,0.3715,0.1480
weighted_code_uc_chains_miniLM,10%,(1.0000|0.6920),(0.7836|0.8221),0.3235,0.1158,0.3288,0.1713
weighted_code_uc_chains_simcse,20%,(1.0000|0.7098),(0.7574|0.7853),0.2679,0.0619,0.3411,0.1048
weighted_code_uc_chains_simcse,15%,(1.0000|0.7098),(0.7574|0.7853),0.2766,0.0739,0.3155,0.1197
weighted_code_uc_chains_simcse,10%,(1.0000|0.7098),(0.7574|0.7853),0.2747,0.0846,0.2454,0.1258
